filepath,AvgGrayLvl,AvgContrst,Smoothness,ThrdMoment,Uniformity,Entropy,,,AvgGrayLvl,AvgContrst,Smoothness,ThrdMoment,Uniformity,Entropy,,,AvgGrayLvl,AvgContrst,Smoothness,ThrdMoment,Uniformity,Entropy
images\seashell_five.jpg,124.9658443,69.19288303,0.068578613,-0.599202115,0.00426849,7.936933669,,,good,bad,bad,good,good,good,,,,,,,,
images\seashell_five.jpg,131.0447296,62.72014993,0.057045892,-0.600760983,0.004380822,7.894249711,,,good,bad,bad,bad,bad,bad,,,,,,,,
images\seashell_five.jpg,145.3084541,54.2151647,0.043247481,-0.067097127,0.005072106,7.729678194,,,good,bad,bad,good,good,good,,,,,,,,
images\seashell_five.jpg,139.7896825,51.37999434,0.039014373,-0.567040346,0.005551352,7.631471054,,,good,good,good,good,good,good,,,,,,,,
images\seashell_five.jpg,145.3801775,50.79830437,0.038169512,-1.011163832,0.005966869,7.606746718,,,good,good,good,good,good,good,,,,,,,,
images\seashell_five.jpg,149.8784602,43.80871621,0.028668705,-0.163046719,0.007844683,7.236453727,,,good,good,good,good,good,good,,,,,,,,
images\seashell_five.jpg,122.5840085,67.12376241,0.064800239,-0.279021027,0.0045642,7.89758445,,,good,good,good,good,good,good,,,,,,,,
images\seashell_five.jpg,130.9925714,59.8094228,0.052143645,-1.127450349,0.004829572,7.799997307,,,good,good,good,bad,good,good,,,,,,,,
images\seashell_five.jpg,108.350576,43.93284664,0.028826709,0.188985479,0.006285261,7.470552467,,,good,bad,bad,good,good,good,,,,,,,,
images\seashell_five.jpg,142.4170875,49.35116755,0.036103147,-0.057299077,0.005859309,7.523563375,,,good,good,good,good,good,good,,,,,,,,
images\shellfish_four.jpg,166.167756,39.89008622,0.02388636,-0.378812206,0.007379858,7.233847151,,,good,good,good,bad,good,good,,,,,,,,
images\shellfish_four.jpg,165.3794872,32.86463441,0.016338897,-0.016650428,0.009934254,6.880965006,,,good,good,good,good,good,good,,,,,,,,
images\shellfish_four.jpg,183.7577668,36.38502886,0.019953171,-0.252819115,0.007844595,7.132204699,,,good,good,good,good,good,good,,,,,,,,
images\shellfish_four.jpg,147.8984072,48.80435268,0.035335642,-0.51875911,0.005986768,7.544141138,,,good,bad,bad,good,good,good,,,,,,,,
images\shellfish_four.jpg,144.2847464,52.19988819,0.04021897,-0.158262188,0.005426457,7.616195722,,,good,bad,bad,good,good,good,,,,,,,,
images\starfish_overlaid.jpg,53.87428775,55.73147241,0.045588604,2.511411261,0.029617061,6.77130964,,,good,bad,bad,good,good,good,,,,,,,,
images\starfish_overlaid.jpg,32.12442297,46.30606108,0.031923108,2.519641927,0.111302331,5.468503514,,,good,good,good,good,good,good,,,,,,,,
images\starfish_overlaid.jpg,42.90457516,38.21826208,0.02196919,1.269488645,0.011351664,6.828147287,,,good,good,good,good,good,good,,,,,,,,
images\starfish_overlaid.jpg,53.61007511,48.44659844,0.034837475,2.384352123,0.009494265,7.146398261,,,good,good,good,good,bad,good,,,,,,,,
images\starfish_overlaid.jpg,121.6559454,61.8646129,0.055586149,-0.054641262,0.004487723,7.877084882,,,good,good,good,good,good,good,,,,,,,,
images\starfish_noise1.jpg,228.5285047,27.63356147,0.01160708,-0.807480204,0.020530836,6.112254177,,,good,bad,bad,good,good,good,,,,,,,,
images\starfish_noise1.jpg,225.1447934,27.53020128,0.011521411,-1.029161377,0.017650264,6.19156168,,,good,good,good,good,good,good,,,,,,,,
images\starfish_noise1.jpg,198.2447307,49.39968685,0.036171602,-3.316789306,0.009381698,7.130178674,,,good,good,good,good,good,good,,,,,,,,
images\starfish_noise1.jpg,226.5030168,29.20014063,0.012942906,-0.710979511,0.019474248,6.211922387,,,good,good,good,bad,bad,bad,,,,,,,,
images\starfish_noise1.jpg,222.2307817,25.3754788,0.009805475,-0.336662296,0.015618271,6.345065392,,,bad,good,good,bad,bad,bad,,,,,,,,
,,,,,,,,,good,good,good,good,good,good,,,,,,,,
,,,,,,,,,bad,good,good,good,bad,bad,,,,,,,,
,,,,,,,,,bad,good,good,good,bad,bad,,,,,,,,
